ts,open,high,low,close,volume,amount,ma20,ma60,ma240,macd,signal,hist
2025-03-07 09:15:00,46.2,46.2,46.2,46.2,1,46200.0,,,,0.0,0.0,0.0
2025-03-07 09:23:00,46.3,46.3,46.25,46.25,2,92550.0,,,,0.0011217948717927584,0.0006232193732181991,0.0004985754985745593
2025-03-07 09:30:00,46.0,46.0,46.0,46.0,6,276000.0,,,,-0.0063230957126307885,-0.002223631071801877,-0.004099464640828911
2025-03-07 09:35:00,45.9,45.9,45.9,45.9,2,91800.0,,,,-0.013164676786992402,-0.0059299473709856585,-0.0072347294160067434
2025-03-07 09:39:00,45.85,45.85,45.85,45.85,3,137550.0,,,,-0.01859475509603925,-0.009697441339647483,-0.008897313756391767
2025-03-07 09:40:00,45.85,45.85,45.85,45.85,1,45850.0,,,,-0.02150944898831142,-0.012899152147356286,-0.008610296840955134
2025-03-07 09:46:00,45.8,45.8,45.8,45.8,1,45800.0,,,,-0.025273262061013213,-0.016030709255289256,-0.009242552805723957
2025-03-07 09:49:00,45.8,45.8,45.8,45.8,1,45800.0,,,,-0.02739065380338701,-0.018760717554001723,-0.008629936249385288
2025-03-07 09:54:00,45.6,45.6,45.6,45.6,1,45600.0,,,,-0.0383628752943892,-0.023288913238837246,-0.015073962055551952
2025-03-07 10:12:00,45.6,45.6,45.6,45.6,3,136800.0,,,,-0.04558813854639965,-0.028285234175983845,-0.017302904370415803
2025-03-07 11:06:00,45.8,45.8,45.8,45.8,1,45800.0,,,,-0.03951477793097524,-0.03074219418468079,-0.008772583746294454
2025-03-07 12:05:00,45.85,45.85,45.85,45.85,1,45850.0,,,,-0.031777955450621675,-0.03096463226645462,-0.0008133231841670543
2025-03-07 12:31:00,45.8,45.8,45.8,45.8,1,45800.0,,,,-0.028442979221360076,-0.030430962872218158,0.0019879836508580814
2025-03-07 12:37:00,45.8,45.8,45.8,45.8,1,45800.0,,,,-0.02557729015055088,-0.029415570917443717,0.003838280766892837
2025-03-07 12:51:00,45.85,45.85,45.85,45.85,1,45850.0,,,,-0.020122707262068218,-0.027489220765861987,0.007366513503793769
2025-03-07 13:25:00,45.85,45.85,45.85,45.85,1,45850.0,,,,-0.015730882913025823,-0.025069442491965764,0.009338559578939941
2025-03-07 13:30:00,45.85,45.85,45.85,45.85,1,45850.0,,,,-0.012186285644567363,-0.022433453937119287,0.010247168292551925
2025-03-10 09:54:00,45.35,45.35,45.35,45.35,3,136050.0,,,,-0.04084702693377551,-0.02618372745817845,-0.01466329947559706
2025-03-10 10:28:00,45.25,45.25,45.25,45.25,1,45250.0,,,,-0.0687911286025269,-0.034829810880906746,-0.03396131772162015
2025-03-10 10:33:00,45.2,45.2,45.2,45.2,3,135600.0,45.7725,,,-0.09275806513347362,-0.0465505931507169,-0.04620747198275672
2025-03-10 10:52:00,45.3,45.3,45.3,45.3,2,90600.0,45.7275,,,-0.10354790000800307,-0.05805617478206041,-0.04549172522594266
2025-03-10 12:06:00,45.35,45.35,45.35,45.35,1,45350.0,45.6825,,,-0.10731387983217644,-0.06798094769041567,-0.03933293214176077
2025-03-10 12:37:00,45.35,45.35,45.35,45.35,2,90700.0,45.65,,,-0.10896235253942876,-0.0762258982579848,-0.032736454281443964
2025-03-10 12:43:00,45.3,45.35,45.3,45.35,2,90650.0,45.622499999999995,,,-0.10895657843839501,-0.08280309422384731,-0.026153484214547704
2025-03-10 12:44:00,45.35,45.35,45.35,45.35,1,45350.0,45.5975,,,-0.10767094847167158,-0.08779552594720288,-0.019875422524468694
2025-03-10 12:46:00,45.35,45.35,45.35,45.35,1,45350.0,45.572500000000005,,,-0.10540833199630839,-0.0913287657189915,-0.014079566277316893
2025-03-10 12:48:00,45.35,45.35,45.35,45.35,1,45350.0,45.55,,,-0.10241371914832342,-0.09355112975137654,-0.008862589396946882
2025-03-10 13:30:00,45.3,45.3,45.3,45.3,5,226500.0,45.525,,,-0.10246028653722306,-0.09533641435118274,-0.0071238721860403115
